OE,RF,Descripción,Módulo Backend,Módulo Frontend,Resultado Prueba Piloto,Estado
OE4,RF-24,"Reporte de inventario actual (orden FEFO)","GET /api/reportes/inventario reutiliza servicio_inventario","Reportes.jsx pestaña Inventario","test_reporte_inventario_vacio pasa. Orden FEFO [2,10,19,20,20,25]",COMPLETO
OE4,RF-25,"Reporte de asignaciones completadas (con evidencia)","GET /api/reportes/asignaciones","Reportes.jsx pestaña Asignaciones","PARCIAL. test_reporte_asignaciones_vacio: 0 evidencias. Falta modelo evidencia_entrega",PARCIAL
OE4,RF-26,"Exportación a Google Sheets (API v4)","POST /api/reportes/exportar-sheets genera CSV + URL simulada","Reportes.jsx botón Exportar","PARCIAL. URL simulada. Pendiente credenciales Google Cloud",PARCIAL
OE4,RF-27,"Reporte fiscal DGII PDF inmutable (Norma 04-2014, Art. 287 Ley 11-92)","POST /api/reportes/fiscal con hash SHA-256 encadenado","Reportes.jsx pestaña Fiscal","PARCIAL. PDF local sin firma digital. Hash #2 encadenado a hash #1 verificado",PARCIAL
OE5,RF-28,"RBAC (Donante, Receptor, Banco, Administrador)","utils/dependencias.py → requerir_roles(*roles) en 4 niveles","Admin.jsx con guarda de acceso","Verificado: banco → 403; admin → 200. Auto-registro admin bloqueado",COMPLETO
OE5,RF-29,"Auditoría (quién, qué, cuándo, IP)","Modelo BitacoraAuditoria + servicio_auditoria.registrar()","Admin.jsx tabla de bitácora","Verificado: eventos de auditoría con todos los campos requeridos",COMPLETO
OE5,RF-32,"Panel administrativo (kg rescatados, tasa efectividad, distribución perecibilidad)","servicio_admin.metricas_panel() → GET /api/admin/panel","Admin.jsx tarjetas de métricas + gráficos + tabla usuarios","Verificado: kg=350, efectividad=50%, distribución por perecibilidad",COMPLETO
OE5,RNF-12,Cifrado AES-256 para RNC/cédulas,"utils/cifrado.py con AES-256-GCM; CLAVE_AES256 en .env","N/A (backend)","6/6 tests AES-256 pasan: cifrado/descifrado, texto vacío, nonce único",COMPLETO
OE5,RNF-15,"Política de contraseñas (≥ 10 caracteres, mayúscula, número, símbolo)","schemas/usuario.py validación","Registro.jsx indicador de fortaleza","7/7 tests pasan: largo ≥ 10, mayúscula, número, símbolo, bordes",COMPLETO
OE5,RN-19,"Derechos ARCO (Ley 172-13) en ≤ 15 días hábiles","Modelo SolicitudArco; servicio_arco.py; router arco.py (4 endpoints)","MisDerechos.jsx + enlace en Perfil.jsx","test_calculo_fecha_limite_15_dias_habiles pasa. 4 rutas verificadas",COMPLETO
